Branch,Quarter,Date,Scenario,Volume
Bangalore,Q1,01-04-2019,Baseline,6086.5
Bangalore,Q2,01-07-2019,Baseline,4425.5
Bangalore,Q3,01-10-2019,Baseline,5878
Bangalore,Q4,01-01-2020,Baseline,6068
Bangalore,Q1,01-04-2020,Baseline,1756.5
Bangalore,Q2,01-07-2020,Baseline,3067.5
Bangalore,Q3,01-10-2020,Baseline,5721
Bangalore,Q4,01-01-2021,Baseline,5921
Bangalore,Q1,01-04-2021,Baseline,3471
Bangalore,Q2,01-07-2021,Baseline,4148.5
Bangalore,Q3,01-10-2021,Baseline,6323.5
Bangalore,Q4,01-01-2022,Baseline,11147
Bangalore,Q1,01-04-2022,Baseline,6676.5
Bangalore,Q2,01-07-2022,Baseline,4459
Bangalore,Q3,01-10-2022,Baseline,6862.5
Bangalore,Q4,01-01-2023,Baseline,10900
Bangalore,Q1,01-04-2023,Baseline,7255.5
Bangalore,Q2,01-07-2023,Baseline,6325.5
Bangalore,Q3,01-10-2023,Baseline,8122.5
Bangalore,Q4,01-01-2024,Baseline,15361.5
Bangalore,Q1,01-04-2024,Baseline,13343
Bangalore,Q2,01-07-2024,Baseline,6473.81494921004
Bangalore,Q3,01-10-2024,Baseline,9426.69440075105
Bangalore,Q4,01-01-2025,Baseline,16664.4899456713
Bangalore, Q1      ,01-04-2025,Baseline,14218.7
Bangalore, Q2      ,01-07-2025,Baseline,6895.2
Bangalore, Q3      ,01-10-2025,Baseline,10045.3
Bangalore, Q4      ,01-01-2026,Baseline,17892.6
Bangalore, Q1      ,01-04-2026,Baseline,15234.1
Bangalore, Q2      ,01-07-2026,Baseline,7382.4
Bangalore, Q3      ,01-10-2026,Baseline,10876.5
Bangalore, Q4      ,01-01-2027,Baseline,19124.8
Bangalore, Q1      ,01-04-2027,Baseline,16249.7
Bangalore, Q2      ,01-07-2027,Baseline,7869.6
Bangalore, Q3      ,01-10-2027,Baseline,11707.7
Bangalore, Q4      ,01-01-2028,Baseline,20356.9
Bangalore, Q1      ,01-04-2028,Baseline,17265.3
Bangalore, Q2      ,01-07-2028,Baseline,8356.8
Bangalore, Q3      ,01-10-2028,Baseline,12538.9
Bangalore, Q4      ,01-01-2029,Baseline,21589.1
Bangalore,2,01-04-2029,Baseline,18300.8446521125
Bangalore,3,01-07-2029,Baseline,9757.681599600277
Bangalore,4,01-10-2029,Baseline,13888.84392966554
Chennai,Q1,01-04-2019,Baseline,31361
Chennai,Q2,01-07-2019,Baseline,15050.5
Chennai,Q3,01-10-2019,Baseline,13177.5
Chennai,Q4,01-01-2020,Baseline,23424
Chennai,Q1,01-04-2020,Baseline,15372.5
Chennai,Q2,01-07-2020,Baseline,14119.5
Chennai,Q3,01-10-2020,Baseline,17290
Chennai,Q4,01-01-2021,Baseline,20782
Chennai,Q1,01-04-2021,Baseline,27793
Chennai,Q2,01-07-2021,Baseline,15670
Chennai,Q3,01-10-2021,Baseline,19790.5
Chennai,Q4,01-01-2022,Baseline,21683
Chennai,Q1,01-04-2022,Baseline,34896
Chennai,Q2,01-07-2022,Baseline,14610
Chennai,Q3,01-10-2022,Baseline,25566.5
Chennai,Q4,01-01-2023,Baseline,28045
Chennai,Q1,01-04-2023,Baseline,38962
Chennai,Q2,01-07-2023,Baseline,19184.5
Chennai,Q3,01-10-2023,Baseline,30191
Chennai,Q4,01-01-2024,Baseline,45203
Chennai,Q1,01-04-2024,Baseline,65134
Chennai,Q2,01-07-2024,Baseline,19634.3218548921
Chennai,Q3,01-10-2024,Baseline,35038.6371995168
Chennai,Q4,01-01-2025,Baseline,49037.1994280623
Chennai, Q1      ,01-04-2025,Baseline,70245.3
Chennai, Q2      ,01-07-2025,Baseline,21038.2
Chennai, Q3      ,01-10-2025,Baseline,38512.4
Chennai, Q4      ,01-01-2026,Baseline,53945.7
Chennai, Q1      ,01-04-2026,Baseline,77356.8
